id,creation_date,link_type_id,post_id,related_post_id
16748,4/26/2010 3:06:01,1,633501,633365
17000,4/26/2010 3:06:05,1,641984,205614
17430,4/26/2010 3:06:11,1,655903,558105
17560,4/26/2010 3:06:13,1,660372,651956
17988,4/26/2010 3:06:19,1,672612,671229
18819,4/26/2010 3:06:31,1,697096,576196
19568,4/26/2010 3:06:47,1,719412,360968
19713,4/26/2010 3:06:49,1,723791,232347
20080,4/26/2010 3:06:54,1,734857,352618
20438,4/26/2010 3:06:59,1,746152,660097
20729,4/26/2010 3:07:02,1,753801,745549
20742,4/26/2010 3:07:03,1,754499,450687
21418,4/26/2010 3:07:17,1,772913,330268
22899,4/26/2010 3:07:50,1,817870,194812
23187,4/26/2010 3:07:55,1,827002,267693
23301,4/26/2010 3:08:00,1,829915,235785
23444,4/26/2010 3:08:01,1,833801,823224
23984,4/26/2010 3:08:10,1,850065,47521
24356,4/26/2010 3:08:14,1,860177,659199
24493,4/26/2010 3:08:16,1,863540,207592
24649,4/26/2010 3:08:18,1,867441,742623
24705,4/26/2010 3:08:19,1,868643,868243
24730,4/26/2010 3:08:19,1,869765,59968
24887,4/26/2010 3:08:23,1,874830,323739
25200,4/26/2010 3:08:27,1,883879,819667
25325,4/26/2010 3:08:29,1,887195,887013
25367,4/26/2010 3:08:29,1,888333,428001
25433,4/26/2010 3:08:30,1,890518,483414
25712,4/26/2010 3:08:35,1,899052,209774
25971,4/26/2010 3:08:53,1,906304,857427
26651,4/26/2010 3:09:03,1,927031,797807
26709,4/26/2010 3:09:03,1,928874,928967
26817,4/26/2010 3:09:05,1,931988,855747
27150,4/26/2010 3:09:09,1,942198,171765
27412,4/26/2010 3:09:19,1,949675,545794
27784,4/26/2010 3:09:28,1,961406,913879
29024,4/26/2010 3:09:45,1,999004,282470
29082,4/26/2010 3:09:46,1,999928,616210
29148,4/26/2010 3:09:54,1,1001392,428073
29491,4/26/2010 3:09:58,1,1011349,473546
29570,4/26/2010 3:10:00,1,1013761,1010699
29663,4/26/2010 3:10:01,1,1017259,94011
30645,4/26/2010 3:10:16,1,1044718,1194352
30724,4/26/2010 3:10:17,1,1046928,407337
30791,4/26/2010 3:10:18,1,1049446,893324
31131,4/26/2010 3:10:23,1,1058797,2443135
31221,4/26/2010 3:10:24,1,1061153,1060202
31611,4/26/2010 3:10:29,1,1072581,837134
32029,4/26/2010 3:10:36,1,1085137,267941
32315,4/26/2010 3:10:40,1,1093025,131020
33057,4/26/2010 3:11:02,1,1115653,512976
33169,4/26/2010 3:11:03,1,1119167,766021
33412,4/26/2010 3:11:06,1,1125350,355834
33611,4/26/2010 3:11:08,1,1131332,305044
33926,4/26/2010 3:11:14,1,1141494,1110880
33986,4/26/2010 3:11:15,1,1143645,537234
34200,4/26/2010 3:11:17,1,1149139,209603
34316,4/26/2010 3:11:19,1,1152198,766610
34449,4/26/2010 3:11:21,1,1156515,1149317
35791,4/26/2010 3:11:50,1,1196359,555696
35830,4/26/2010 3:11:51,1,1197343,1356713
36905,4/26/2010 3:12:26,1,1227008,1166855
37245,4/26/2010 3:12:30,1,1237266,1225844
38302,4/26/2010 3:12:51,1,1265477,70602
38688,4/26/2010 3:12:57,1,1277689,275836
38963,4/26/2010 3:13:02,1,1285700,62617
39248,4/26/2010 3:13:07,1,1294635,432174
39673,4/26/2010 3:13:20,1,1306660,1138960
39989,4/26/2010 3:13:26,1,1317621,389825
40214,4/26/2010 3:13:29,1,1324261,359342
40320,4/26/2010 3:13:30,1,1327071,524024
41271,4/26/2010 3:13:45,1,1357014,1308518
41344,4/26/2010 3:13:46,1,1359255,827294
41378,4/26/2010 3:13:47,1,1360252,1359869
41535,4/26/2010 3:13:49,1,1365056,852994
42875,4/26/2010 3:14:29,1,1402684,810962
42962,4/26/2010 3:14:30,1,1405201,1273116
43449,4/26/2010 3:14:38,1,1419336,550929
43587,4/26/2010 3:14:39,1,1423000,373945
43614,4/26/2010 3:14:40,1,1423907,1144051
43679,4/26/2010 3:14:41,1,1425698,897945
44241,4/26/2010 3:14:48,1,1440224,951643
44977,4/26/2010 3:14:57,1,1459753,1395656
45122,4/26/2010 3:14:59,1,1463862,1425458
45220,4/26/2010 3:15:01,1,1466521,650351
45903,4/26/2010 3:15:12,1,1487588,1051962
46208,4/26/2010 3:15:17,1,1497035,490780
46247,4/26/2010 3:15:17,1,1497887,640273
46659,4/26/2010 3:15:50,1,1510340,537580
46760,4/26/2010 3:15:52,1,1513346,172138
47289,4/26/2010 3:15:59,1,1527641,945015
48423,4/26/2010 3:16:17,1,1560998,727386
48519,4/26/2010 3:16:19,1,1563924,42294
48570,4/26/2010 3:16:20,1,1565602,1564501
48957,4/26/2010 3:16:26,1,1577088,972717
49685,4/26/2010 3:16:38,1,1599030,1854113
49717,4/26/2010 3:16:39,1,1599744,442409
49821,4/26/2010 3:18:20,1,1603013,1319191
49883,4/26/2010 3:18:21,1,1605522,1604935
50064,4/26/2010 3:18:23,1,1610536,590336
50444,4/26/2010 3:18:31,1,1621359,1621298
50484,4/26/2010 3:18:32,1,1622580,1619968
50695,4/26/2010 3:18:36,1,1629268,993249
51153,4/26/2010 3:18:44,1,1643035,1567730
51249,4/26/2010 3:18:46,1,1646586,264680
51782,4/26/2010 3:18:53,1,1663129,817853
51891,4/26/2010 3:18:55,1,1666094,1627582
52007,4/26/2010 3:18:57,1,1669413,246966
53312,4/26/2010 3:20:01,1,1710193,653540
53725,4/26/2010 3:20:07,1,1723801,1707575
53827,4/26/2010 3:20:08,1,1726755,893689
54137,4/26/2010 3:20:13,1,1736333,1735993
54573,4/26/2010 3:20:19,1,1748808,511552
54750,4/26/2010 3:20:22,1,1753716,390693
54819,4/26/2010 3:20:24,1,1756144,1756844
55266,4/26/2010 3:20:31,1,1768180,1767690
55715,4/26/2010 3:20:39,1,1781734,1631444
56155,4/26/2010 3:20:47,1,1794872,335792
56172,4/26/2010 3:20:47,1,1795244,777597
56361,4/26/2010 3:21:04,1,1800993,1352989
56641,4/26/2010 3:21:08,1,1808949,1732348
57227,4/26/2010 3:21:17,1,1826208,1854006
57497,4/26/2010 3:21:20,1,1834223,1608571
58029,4/26/2010 3:21:28,1,1849858,509141
59369,4/26/2010 3:21:48,1,1889675,608743
59469,4/26/2010 3:21:50,1,1892696,1892547
59681,4/26/2010 3:21:53,1,1898905,1896647
59708,4/26/2010 3:21:53,1,1899503,130794
59794,4/26/2010 3:22:50,1,1902368,351565
60341,4/26/2010 3:22:57,1,1917887,203376
60458,4/26/2010 3:22:59,1,1921642,1914619
61216,4/26/2010 3:23:10,1,1942159,1565496
61486,4/26/2010 3:23:13,1,1949491,1944532
61563,4/26/2010 3:23:14,1,1951212,1873992
61627,4/26/2010 3:23:15,1,1952505,942481
62107,4/26/2010 3:23:22,1,1965645,247412
62226,4/26/2010 3:23:23,1,1968772,343899
62468,4/26/2010 3:23:27,1,1976296,1770785
62492,4/26/2010 3:23:27,1,1977079,1145659
62717,4/26/2010 3:23:31,1,1983991,1014203
63061,4/26/2010 3:23:36,1,1994157,1956142
63709,4/26/2010 3:24:00,1,2011518,1086621
63829,4/26/2010 3:24:01,1,2014617,1985819
64601,4/26/2010 3:24:10,1,2035073,590159
64613,4/26/2010 3:24:10,1,2035238,2032167
64707,4/26/2010 3:24:12,1,2037765,621635
64793,4/26/2010 3:24:13,1,2039705,1996855
65144,4/26/2010 3:24:18,1,2049553,1732348
65283,4/26/2010 3:24:20,1,2053536,1312227
65387,4/26/2010 3:24:22,1,2056398,1790457
67611,4/26/2010 3:25:00,1,2114755,30474
67926,4/26/2010 3:25:04,1,2123097,1051013
68584,4/26/2010 3:25:14,1,2140227,982942
68804,4/26/2010 3:25:18,1,2146227,725220
69255,4/26/2010 3:25:24,1,2157781,1142727
69306,4/26/2010 3:25:25,1,2159314,46214
69390,4/26/2010 3:25:26,1,2161365,2161197
69401,4/26/2010 3:25:26,1,2161710,2148825
69746,4/26/2010 3:25:31,1,2170614,17106
69862,4/26/2010 3:25:33,1,2173984,1594985
69943,4/26/2010 3:25:34,1,2175831,2027276
70497,4/26/2010 3:25:42,1,2190272,344068
70791,4/26/2010 3:25:47,1,2197914,343254
70892,4/26/2010 3:26:04,1,2200240,2167857
71041,4/26/2010 3:26:07,1,2204357,686073
71146,4/26/2010 3:26:14,1,2207299,1952570
71469,4/26/2010 3:26:19,1,2215808,1474229
71681,4/26/2010 3:26:21,1,2221446,253357
72191,4/26/2010 3:26:29,1,2235701,638127
72429,4/26/2010 3:26:33,1,2242318,2242371
72512,4/26/2010 3:26:34,1,2244565,15828
72575,4/26/2010 3:26:35,1,2246324,2229626
72753,4/26/2010 3:26:38,1,2251469,582391
73137,4/26/2010 3:26:44,1,2262217,170986
73161,4/26/2010 3:26:44,1,2262917,129329
73360,4/26/2010 3:26:48,1,2269032,729527
73810,4/26/2010 3:26:55,1,2280924,2290812
73924,4/26/2010 3:26:57,1,2283612,2253462
74309,4/26/2010 3:27:02,1,2294474,2293290
74604,4/26/2010 3:27:32,1,2302377,890505
74882,4/26/2010 3:27:36,1,2309544,772261
75718,4/26/2010 3:27:50,1,2332545,2871
75723,4/26/2010 3:27:50,1,2332772,2020660
75974,4/26/2010 3:27:53,1,2338450,2330528
76137,4/26/2010 3:27:55,1,2342864,310974
77304,4/26/2010 3:28:12,1,2373801,2366733
78164,4/26/2010 3:28:27,1,2397505,1150192
78619,4/26/2010 3:28:49,1,2409775,1010645
78711,4/26/2010 3:28:50,1,2412486,2167894
78982,4/26/2010 3:28:55,1,2419561,1283374
78986,4/26/2010 3:28:55,1,2419649,484214
79777,4/26/2010 3:29:07,1,2441845,2441697
79851,4/26/2010 3:29:08,1,2443948,985272
80430,4/26/2010 3:29:19,1,2459814,1124676
80648,4/26/2010 3:29:23,1,2467132,638269
80668,4/26/2010 3:29:24,1,2467817,1968772
80718,4/26/2010 3:29:24,1,2469114,2426917
80787,4/26/2010 3:29:27,1,2471056,2470088
81196,4/26/2010 3:29:34,1,2482237,17988
81548,4/26/2010 3:29:40,1,2493627,2490449
81964,4/26/2010 3:29:56,1,2506872,2507184
82037,4/26/2010 3:29:57,1,2509266,841061
82119,4/26/2010 3:29:58,1,2511970,2167310
82124,4/26/2010 3:29:58,1,2512082,2368761
82382,4/26/2010 3:30:03,1,2521020,2534988
82782,4/26/2010 3:30:09,1,2532134,1332782
83198,4/26/2010 3:30:15,1,2543838,944134
83380,4/26/2010 3:30:18,1,2549701,1004314
83601,4/26/2010 3:30:21,1,2556149,519422
83657,4/26/2010 3:30:23,1,2558057,388242
83951,4/26/2010 3:30:28,1,2567224,1492198
83952,4/26/2010 3:30:28,1,2567377,2566496
85212,4/26/2010 3:31:19,1,2602406,928646
85273,4/26/2010 3:31:19,1,2603979,1183726
85432,4/26/2010 3:31:23,1,2608869,1344908
85632,4/26/2010 3:31:26,1,2613677,158998
85872,4/26/2010 3:31:29,1,2619592,448981
86097,4/26/2010 3:31:37,1,2624540,392280
86294,4/26/2010 3:31:40,1,2629003,1779169
87174,4/26/2010 3:31:54,1,2653459,306139
87199,4/26/2010 3:31:55,1,2654117,129329
87372,4/26/2010 3:31:57,1,2659206,2174640
87688,4/26/2010 3:32:03,1,2667608,2648802
87707,4/26/2010 3:32:04,1,2668176,563000
88084,4/26/2010 3:32:10,1,2679582,2562931
88186,4/26/2010 3:32:12,1,2682510,134796
88594,4/26/2010 3:32:19,1,2693152,2693021
88634,4/26/2010 3:32:19,1,2694145,2692152
88771,4/26/2010 3:32:22,1,2697399,2697783
90533,4/26/2010 14:01:54,1,2633684,887328
92302,4/27/2010 0:40:06,1,2551682,2554827
93034,4/27/2010 7:49:52,1,2719098,2719012
96381,4/28/2010 4:49:20,1,2726763,2515087
99177,4/28/2010 21:58:17,1,2722660,1645979
99527,4/29/2010 0:22:40,1,2733597,42
100446,4/29/2010 11:07:46,1,2725449,2101524
101299,4/29/2010 16:19:54,1,2738698,2728170
103546,4/30/2010 14:25:17,1,2730173,2652368
107095,5/2/2010 8:32:57,1,2751257,468753
112314,5/4/2010 10:06:39,1,2755366,190776
113543,5/4/2010 17:38:16,1,2764108,1749534
114749,5/5/2010 2:24:54,1,2769700,365312
114919,5/5/2010 4:14:24,1,2665507,2086989
116675,5/5/2010 15:35:43,1,2773871,2141149
117550,5/5/2010 20:33:00,1,2233154,987019
119882,5/6/2010 14:29:02,1,2780433,85353
122661,5/7/2010 13:56:30,1,2788820,935336
122897,5/7/2010 15:39:30,1,2789460,308999
122911,5/7/2010 15:43:32,1,2788937,90924
124542,5/8/2010 13:30:35,1,2757145,2556532
125156,5/8/2010 22:02:26,1,936269,935043
125363,5/9/2010 2:17:06,1,2792900,1732348
126118,5/9/2010 14:49:47,1,2793792,2707516
132136,5/11/2010 2:56:10,1,2784223,156755
137112,5/12/2010 7:44:48,1,2806801,271076
144413,5/14/2010 6:18:07,1,2829826,2747085
144746,5/14/2010 9:16:25,1,2820983,1330939
145775,5/14/2010 16:12:25,1,2828992,2310483
147974,5/15/2010 1:11:23,1,2828718,1331769
148543,5/15/2010 8:49:15,1,2839498,147181
150003,5/15/2010 21:50:10,1,2840405,309300
150049,5/15/2010 22:32:12,1,2830860,568215
151399,5/16/2010 7:46:10,1,2836513,1801064
153570,5/17/2010 2:56:15,1,2845981,1991126
154881,5/17/2010 13:21:29,1,2330445,148587
155390,5/17/2010 15:44:27,1,2849877,1920284
157226,5/18/2010 4:22:01,1,2845325,1367322
158341,5/18/2010 11:47:32,1,2852992,1766067
160807,5/18/2010 23:48:03,1,2859955,1286096
162790,5/19/2010 13:16:33,1,2859234,11060
163556,5/19/2010 14:47:18,1,2774806,1241361
163995,5/19/2010 16:04:02,1,2865776,933343
167674,5/20/2010 14:36:26,1,2874578,2313919
170703,5/21/2010 1:44:17,1,2824051,945288
172455,5/21/2010 8:43:23,1,2880570,1718488
176206,5/22/2010 0:07:14,1,2885608,389289
178750,5/23/2010 10:36:51,1,2891357,2185837
180298,5/23/2010 21:05:08,1,2893218,104254
185948,5/25/2010 10:20:37,1,1031695,816858
186342,5/25/2010 12:19:05,1,2874071,293425
186756,5/25/2010 13:42:57,1,2903493,2892947
187467,5/25/2010 16:00:30,1,2896689,988158
190499,5/26/2010 7:04:01,1,2908456,1849859
193067,5/26/2010 18:19:59,1,2890768,2914751
194904,5/27/2010 5:44:57,1,2917798,2695701
195166,5/27/2010 7:45:10,1,2912658,2001913
195732,5/27/2010 11:33:59,1,2844142,404040
196052,5/27/2010 13:07:37,1,2920391,2733249
196365,5/27/2010 14:21:46,1,2920559,283816
207594,5/31/2010 15:36:46,1,864633,1629285
208434,5/31/2010 22:42:55,1,2946212,2946093
209334,6/1/2010 9:54:20,1,2947884,2434906
209608,6/1/2010 11:54:23,1,2925041,1715681
210789,6/1/2010 16:08:14,1,2795380,1787716
211525,6/1/2010 20:20:12,1,2952887,1508350
212849,6/2/2010 9:40:38,1,2951117,155762
213759,6/2/2010 15:10:35,1,2958114,2957759
214208,6/2/2010 17:25:31,1,2956929,1796229
214728,6/2/2010 20:03:06,1,2958385,2793150
215168,6/2/2010 22:43:12,1,2961889,183532
215282,6/2/2010 23:25:48,1,2954218,2953624
215392,6/3/2010 0:35:33,1,1962735,34571
222037,6/4/2010 18:51:20,1,241238,451950
223116,6/5/2010 4:15:55,1,2979082,2732487
223741,6/5/2010 13:28:23,1,2979848,678379
224268,6/5/2010 19:44:08,1,2738526,1262148
226395,6/7/2010 2:14:17,1,2783267,1595418
227502,6/7/2010 14:08:25,1,2983855,1473939
228777,6/7/2010 21:01:12,1,2974916,1892038
229678,6/8/2010 5:48:17,1,2850336,2990882
233206,6/9/2010 1:06:16,1,521832,132685
233305,6/9/2010 1:58:04,1,2840714,2225949
237060,6/9/2010 19:51:04,1,3008308,2471340
237842,6/10/2010 2:00:02,1,2008033,1406940
242682,6/11/2010 7:01:44,1,3018728,613906
243712,6/11/2010 12:38:49,1,3002122,732463
244033,6/11/2010 14:12:08,1,2978541,2721869
246105,6/12/2010 10:05:00,1,2352616,2175735
246592,6/12/2010 16:25:42,1,2923650,2441136
249809,6/14/2010 10:16:36,1,2972389,2494057
251391,6/14/2010 19:03:13,1,2969561,1384811
253150,6/15/2010 11:17:40,1,2972666,338511
254286,6/15/2010 17:40:49,1,3046637,37684
254313,6/15/2010 17:51:27,1,3047631,414715
258032,6/16/2010 19:58:18,1,3052264,626901
258273,6/16/2010 21:45:00,1,3057004,1729374
259579,6/17/2010 10:06:15,1,3059024,1897367
259593,6/17/2010 10:15:53,1,3059610,3059089
261377,6/17/2010 18:50:24,1,3062331,2012950
263474,6/18/2010 12:18:19,1,3065335,2882434
263751,6/18/2010 13:32:19,1,3059988,3043946
264185,6/18/2010 15:21:03,1,3070251,415580
267016,6/19/2010 18:22:45,1,3075375,1247486
268262,6/20/2010 13:47:18,1,3063648,2394236
268763,6/20/2010 19:35:37,1,3076692,1247486
268948,6/20/2010 21:28:32,1,3079986,2215745
269231,6/21/2010 2:18:41,1,379343,3068453
270467,6/21/2010 13:01:06,1,3084751,3083112
274218,6/22/2010 12:50:39,1,3072376,64038
276635,6/22/2010 22:27:19,1,3096007,2014709
279283,6/23/2010 14:23:17,1,3102394,3098201
281358,6/23/2010 23:04:06,1,3087682,1106802
281461,6/23/2010 23:53:53,1,2524025,54886
281488,6/24/2010 0:22:47,1,3106409,641857
283818,6/24/2010 15:20:37,1,3108955,3110841
284188,6/24/2010 17:14:52,1,3111858,718186
284512,6/24/2010 18:56:40,1,129085,10583
284561,6/24/2010 19:20:35,1,397895,392397
288836,6/25/2010 22:13:12,1,3120142,136012
290917,6/26/2010 20:41:59,1,3124535,70579
292605,6/27/2010 22:41:02,1,3128237,2841016
294485,6/28/2010 15:17:48,1,3130059,400116
301838,6/30/2010 11:24:49,1,3142114,1025681
301992,6/30/2010 11:59:25,1,3148018,88615
302480,6/30/2010 14:16:49,1,3149682,3026096
308385,7/1/2010 19:36:00,1,699781,237804
309774,7/2/2010 5:41:05,1,3148600,1622219
311754,7/2/2010 18:53:13,1,3154140,2912217
315048,7/4/2010 16:24:03,1,3107977,2843277
316170,7/5/2010 2:13:45,1,3136604,1616592
318218,7/5/2010 16:59:20,1,3180925,190296
318782,7/5/2010 21:59:45,1,3159524,3003310
323034,7/6/2010 20:29:53,1,3186163,972259
324050,7/7/2010 4:03:19,1,3190578,304258
330433,7/8/2010 19:34:55,1,782053,278062
331211,7/8/2010 23:38:04,1,3199727,2525172
333249,7/9/2010 13:32:10,1,3201462,2698591
333946,7/9/2010 16:23:21,1,3212819,3077227
334559,7/9/2010 18:35:45,1,3199378,1250819
335569,7/9/2010 22:20:35,1,1098550,1020070
336059,7/10/2010 4:51:31,1,3208890,3177733
346076,7/13/2010 13:30:33,1,3234467,3235145
346172,7/13/2010 13:54:39,1,3225470,3211916
347602,7/13/2010 19:45:37,1,1006366,1263857
350415,7/14/2010 12:02:06,1,3243045,278668
351426,7/14/2010 15:36:32,1,3216200,2472183
354993,7/15/2010 10:56:53,1,3254141,808992
355851,7/15/2010 14:52:41,1,3242937,3243088
355967,7/15/2010 15:16:58,1,3255671,1554774
356255,7/15/2010 16:08:31,1,3257404,423467
356908,7/15/2010 18:20:44,1,132988,306313
358777,7/16/2010 6:42:35,1,3130004,3115693
361302,7/16/2010 18:19:10,1,3261581,3075130
364562,7/18/2010 3:53:42,1,2871715,771467
365977,7/18/2010 21:24:34,1,308213,210829
367436,7/19/2010 10:00:07,1,3268491,697568
370428,7/20/2010 2:36:39,1,2057424,1935777
371425,7/20/2010 9:57:26,1,3288500,168963
376851,7/21/2010 15:46:55,1,3299604,40480
377787,7/21/2010 19:26:54,1,1300091,1297518
378124,7/21/2010 20:44:09,1,3278862,1212623
381225,7/22/2010 16:17:53,1,3310533,2127878
381487,7/22/2010 17:21:59,1,3311415,165170
382660,7/22/2010 20:45:38,1,3313044,2051947
382796,7/22/2010 21:22:30,1,3313523,147801
383492,7/23/2010 1:36:47,1,3275288,2939128
383942,7/23/2010 6:13:18,1,3315548,2251699
385393,7/23/2010 14:49:35,1,2810284,2437337
386859,7/23/2010 21:48:15,1,3091487,1895110
387018,7/23/2010 23:17:17,1,3322969,75538
387689,7/24/2010 7:02:13,1,3321456,8609
388551,7/24/2010 14:38:53,1,3325275,2750714
390659,7/25/2010 14:38:38,1,3328705,3328452
395502,7/26/2010 23:35:48,1,3339316,2263996
399841,7/28/2010 2:40:51,1,633950,620118
400547,7/28/2010 8:38:13,1,3344884,3246530
401205,7/28/2010 11:20:32,1,3329041,975167
406036,7/29/2010 13:32:27,1,3358183,913228
410489,7/30/2010 14:30:16,1,3371913,1604790
414854,8/1/2010 13:28:04,1,3382197,3381509
416324,8/2/2010 7:53:15,1,406121,3040335
428766,8/5/2010 15:59:53,1,3400894,632571
428869,8/5/2010 16:24:04,1,3409099,1126779
431298,8/6/2010 8:16:10,1,3421748,468989
433293,8/6/2010 18:21:26,1,3415428,307291
433700,8/6/2010 20:19:09,1,3427359,1269722
434059,8/6/2010 22:41:20,1,1917822,2286884
434367,8/7/2010 1:22:12,1,3426314,309495
434904,8/7/2010 9:02:15,1,3429159,991904
436313,8/7/2010 21:51:06,1,3430177,55083
437888,8/8/2010 18:12:28,1,3302459,1663807
438842,8/9/2010 3:25:36,1,3437102,3432709
439824,8/9/2010 11:23:23,1,3438703,3437731
441969,8/9/2010 21:10:04,1,3389637,3127864
443476,8/10/2010 9:55:00,1,3263809,1586843
445109,8/10/2010 17:24:47,1,3443434,3175972
446540,8/11/2010 0:19:09,1,234796,115831
448416,8/11/2010 13:42:35,1,3454812,2413439
448418,8/11/2010 13:42:35,1,3454812,2982897
454457,8/12/2010 20:28:08,1,3469862,3464141
457935,8/13/2010 16:21:23,1,3477612,448487
458246,8/13/2010 17:30:47,1,3234003,2746333
459118,8/13/2010 19:59:55,1,3480124,1308432
461648,8/14/2010 18:16:49,1,1833667,723050
464969,8/16/2010 6:06:12,1,3484886,2102912
465803,8/16/2010 13:02:10,1,3492805,1407786
465876,8/16/2010 13:33:30,1,3493058,3484072
466464,8/16/2010 16:31:10,1,3493141,2173373
467556,8/16/2010 21:15:50,1,3495336,906855
467562,8/16/2010 21:19:55,1,3497395,2276728
468289,8/17/2010 2:32:20,1,1852883,86562
478196,8/19/2010 7:23:33,1,3511217,967652
479927,8/19/2010 16:26:42,1,3496907,1118296
481822,8/19/2010 23:56:31,1,662988,697978
485733,8/21/2010 0:29:11,1,3535451,3322270
487373,8/21/2010 18:58:53,1,3534082,539504
487864,8/21/2010 21:01:49,1,3538161,1327756
489522,8/22/2010 10:29:19,1,3541089,286921
490613,8/22/2010 18:08:57,1,3540528,1924255
500796,8/25/2010 7:50:47,1,3499878,986497
503029,8/25/2010 16:56:21,1,3568382,3567817
504145,8/25/2010 21:50:42,1,3564752,2529185
507380,8/26/2010 20:01:56,1,3485070,3578951
510875,8/27/2010 18:11:09,1,3581000,1418514
515609,8/29/2010 18:48:11,1,3385013,60784
